Interaction ID,Date,Regulator,Person / Unit,Topic,Interaction Type,Tone,Key Message,Follow-up Owner,Follow-up Due,Status
INT-025,2024-07-10,IAV,Administrative Office,Capital requirement,Submission counter,Positive,Provide transparent update and confirm next steps,Compliance,2024-07-27,Open
INT-026,2024-06-30,IAV,Policy Dept,Product approval,Email,Positive,Provide transparent update and confirm next steps,Agency,2024-07-14,Closed
INT-027,2025-03-26,ISA,Administrative Office,Quarterly update,Submission counter,Neutral,Provide transparent update and confirm next steps,Finance,2025-04-03,Open
INT-028,2024-09-24,SBV,Association Secretariat,Consumer complaints,Submission counter,Neutral,Provide transparent update and confirm next steps,Product,2024-10-11,In Progress
INT-029,2025-09-23,SBV,Insurance Supervision Team,Product approval,Submission counter,Cautious,Provide transparent update and confirm next steps,Finance,2025-09-28,Closed
INT-030,2025-06-22,MIC,Insurance Supervision Team,Agency training,Email,Concerned,Provide transparent update and confirm next steps,Agency,2025-07-01,Closed
INT-031,2025-02-01,MOF,Administrative Office,Agency training,Workshop,Cautious,Provide transparent update and confirm next steps,Agency,2025-02-13,Open
INT-032,2024-08-05,SBV,Insurance Supervision Team,Product approval,Workshop,Positive,Provide transparent update and confirm next steps,CEO Office,2024-08-17,Open
INT-033,2024-09-27,IAV,Administrative Office,Consumer complaints,Workshop,Cautious,Provide transparent update and confirm next steps,Finance,2024-10-03,In Progress
INT-034,2024-08-18,MOF,Insurance Supervision Team,ESG reporting,Meeting,Cautious,Provide transparent update and confirm next steps,Finance,2024-08-23,Closed
INT-035,2025-07-11,VCA,Legal Unit,Market conduct,Call,Neutral,Provide transparent update and confirm next steps,Bancassurance,2025-07-30,In Progress
INT-036,2025-09-04,ISA,Insurance Supervision Team,ESG reporting,Email,Cautious,Provide transparent update and confirm next steps,Compliance,2025-09-21,Open
INT-037,2026-01-17,ISA,Legal Unit,Quarterly update,Email,Positive,Provide transparent update and confirm next steps,Operations,2026-01-20,Closed
INT-038,2024-12-08,MOF,Legal Unit,Bancassurance,Email,Concerned,Provide transparent update and confirm next steps,Bancassurance,2024-12-14,In Progress
INT-039,2025-10-14,SBV,Policy Dept,Quarterly update,Email,Neutral,Provide transparent update and confirm next steps,Compliance,2025-10-31,In Progress
INT-040,2025-08-05,VCA,Legal Unit,Capital requirement,Call,Positive,Provide transparent update and confirm next steps,Legal,2025-08-17,Closed
INT-041,2026-02-12,MOF,Administrative Office,Quarterly update,Call,Concerned,Provide transparent update and confirm next steps,CEO Office,2026-02-26,In Progress
INT-042,2024-06-27,MIC,Legal Unit,Market conduct,Submission counter,Positive,Provide transparent update and confirm next steps,CEO Office,2024-07-13,Closed
INT-043,2026-05-08,VCA,Insurance Supervision Team,Consumer complaints,Submission counter,Concerned,Provide transparent update and confirm next steps,Product,2026-05-22,Open
INT-044,2024-07-08,IAV,Association Secretariat,Bancassurance,Meeting,Concerned,Provide transparent update and confirm next steps,Agency,2024-07-17,Open
INT-045,2025-03-02,MOF,Administrative Office,Product approval,Meeting,Cautious,Provide transparent update and confirm next steps,Product,2025-03-09,In Progress
INT-046,2025-11-12,MOF,Association Secretariat,Consumer complaints,Workshop,Neutral,Provide transparent update and confirm next steps,Product,2025-11-25,Open
INT-047,2024-10-08,MOF,Insurance Supervision Team,Market conduct,Call,Cautious,Provide transparent update and confirm next steps,Finance,2024-10-14,In Progress
INT-048,2026-05-15,ISA,Policy Dept,Bancassurance,Call,Cautious,Provide transparent update and confirm next steps,Legal,2026-05-23,Closed
